,"Dallas, TX","Philadelphia, PA","Phoenix, AZ","San Diego, CA","San Antonio, TX"
2018 March,27.0,46.0,29.0,16.0,42.0
2018 April,21.0,33.0,25.0,14.0,32.0
2018 May,20.0,27.0,25.0,14.0,30.0
2018 June,20.0,29.0,25.0,16.0,30.0
2018 July,22.0,29.0,26.0,23.0,31.0
2018 Aug,25.0,29.0,26.0,25.0,32.0
2018 Sept,28.0,27.0,25.0,28.0,35.0
2018 Oct,31.0,29.0,25.0,28.0,39.0
2018 Nov,35.0,32.0,29.0,32.0,42.0
2018 Dec,38.0,37.0,34.0,37.0,43.0
2019 Jan,42.0,43.0,38.0,40.0,46.0
2019 Feb,39.0,40.0,35.0,38.0,45.0
2019 March,35.0,31.0,32.0,31.0,42.0
2019 April,28.0,20.0,27.0,24.0,35.0
2019 May,26.0,16.0,27.0,21.0,32.0
2019 June,26.0,17.0,25.0,20.0,32.0
2019 July,27.0,19.0,25.0,21.0,33.0
2019 Aug,30.0,22.0,23.0,23.0,35.0
2019 Sept,33.0,23.0,21.0,24.0,39.0
2019 Oct,36.0,23.0,20.0,25.0,42.0
2019 Nov,39.0,25.0,21.0,25.0,45.0
2019 Dec,42.0,32.0,24.0,27.0,49.0
2020 Jan,45.0,38.0,25.0,25.0,54.0
2020 Feb,42.0,34.0,23.0,21.0,52.0
2020 March,35.0,23.0,17.0,14.0,44.0
2020 April,28.0,16.0,15.0,17.0,35.0
2020 May,26.0,16.0,17.0,17.0,32.0
2020 June,26.0,15.0,19.0,18.0,31.0
2020 Aug,25.0,11.0,17.0,12.0,29.0
2020-08-31,24.0,9.0,13.0,10.0,27.0
2020 Sept,23.0,12.0,10.0,8.0,26.0
2020 Oct,22.0,12.0,10.0,8.0,25.0
2020 Nov,22.0,13.0,11.0,8.0,26.0
2020 Dec,22.0,11.0,14.0,9.0,26.0
2021 Jan,22.0,12.0,13.0,9.0,25.0
2021 Feb,20.0,11.0,11.0,8.0,19.0
2021 March,17.0,8.0,8.0,7.0,11.0
2021 April,15.0,7.0,7.0,7.0,6.0
2021 May,13.0,6.0,6.0,7.0,5.0
2021 June,13.0,6.0,7.0,7.0,5.0
2021 Aug,13.0,7.0,8.0,7.0,6.0
2021-08-31,14.0,9.0,9.0,8.0,6.0
2021 Sept,16.0,10.0,10.0,9.0,7.0
2021 Oct,17.0,10.0,10.0,9.0,8.0
2021 Nov,17.0,10.0,12.0,9.0,8.0
2021 Dec,17.0,11.0,13.0,9.0,8.0
2022 Jan,16.0,11.0,13.0,8.0,8.0
2022 Feb,15.0,10.0,11.0,7.0,8.0
2022 March,11.0,8.0,8.0,7.0,7.0
2022 April,8.0,7.0,7.0,7.0,6.0
2022 May,5.0,7.0,8.0,7.0,6.0
2022 June,6.0,7.0,10.0,9.0,6.0
2022 July,7.0,9.0,15.0,12.0,8.0
2022 Aug,10.0,10.0,21.0,16.0,11.0
2022 Sept,13.0,11.0,28.0,19.0,15.0
2022 Oct,16.0,11.0,35.0,21.0,19.0
2022 Nov,18.0,12.0,40.0,21.0,23.0
2022 Dec,23.0,15.0,46.0,25.0,29.0
