,Philadelphia,Dallas,Phoenix,San Antonio,San Diego
2018 March,225500.0,322997.0,320833.0,256667.0,653147.0
2018 April,234133.0,328497.0,324167.0,260667.0,664730.0
2018 May,242467.0,331797.0,326333.0,265633.0,671067.0
2018 June,249967.0,332800.0,326333.0,268933.0,674583.0
2018 July,251667.0,329502.0,324667.0,269767.0,672667.0
2018 August,251633.0,324202.0,321600.0,268100.0,666000.0
2018 September,249933.0,321168.0,319900.0,266433.0,657667.0
2018 October,249600.0,318966.0,319867.0,263233.0,651333.0
2018 November,247300.0,317633.0,318600.0,261433.0,649333.0
2018 December,242333.0,315999.0,319600.0,259467.0,649000.0
2019 January,236000.0,313333.0,320967.0,258030.0,649000.0
2019 February,234333.0,313667.0,323967.0,258197.0,649300.0
2019 March,239000.0,316967.0,325167.0,261530.0,652633.0
2019 April,248967.0,323633.0,327167.0,267967.0,662633.0
2019 May,259600.0,328467.0,330467.0,272933.0,674300.0
2019 June,266600.0,330133.0,333300.0,274933.0,680967.0
2019 July,269933.0,328467.0,334800.0,273967.0,680300.0
2019 August,268300.0,324966.0,334167.0,271975.0,677000.0
2019 September,268267.0,321633.0,335467.0,268642.0,677300.0
2019 October,268267.0,319933.0,336967.0,265186.0,676633.0
2019 November,268233.0,319600.0,340933.0,263844.0,677967.0
2019 December,263233.0,317967.0,343967.0,263724.0,677817.0
2020 January,256600.0,314667.0,347596.0,264813.0,676117.0
2020 February,256600.0,313633.0,350963.0,266346.0,676417.0
2020 March,261600.0,315267.0,351629.0,269767.0,681600.0
2020 April,269266.0,318600.0,351333.0,274466.0,683133.0
2020 May,275800.0,321633.0,349633.0,277966.0,689500.0
2020 June,284133.0,325633.0,352267.0,282300.0,697500.0
2020 July,291467.0,330600.0,355933.0,285800.0,712633.0
2020 August,293267.0,333233.0,360967.0,288800.0,712967.0
2020 September,291300.0,334267.0,363333.0,287833.0,706633.0
2020 October,289300.0,332633.0,365000.0,284500.0,699983.0
2020 November,287667.0,331600.0,366333.0,279833.0,699649.0
2020 December,283000.0,328600.0,369633.0,276500.0,704616.0
2021 January,276633.0,328559.0,374300.0,275000.0,704633.0
2021 February,273300.0,330293.0,379600.0,278333.0,713267.0
2021 March,274967.0,335943.0,386267.0,280667.0,718300.0
2021 April,284667.0,342650.0,393267.0,285633.0,734967.0
2021 May,292967.0,350983.0,404633.0,287633.0,746633.0
2021 June,299600.0,359667.0,414667.0,293633.0,761633.0
2021 July,299600.0,367833.0,424667.0,300333.0,769967.0
2021 August,297967.0,371166.0,431633.0,308333.0,776633.0
2021 September,297333.0,373166.0,439633.0,313333.0,776633.0
2021 October,294333.0,373333.0,446300.0,313333.0,781633.0
2021 November,290967.0,376633.0,452667.0,309967.0,784667.0
2021 December,283267.0,378300.0,456300.0,307300.0,788667.0
2022 January,278267.0,381633.0,462933.0,308967.0,791667.0
2022 February,277050.0,387667.0,468267.0,313967.0,805000.0
2022 March,285083.0,394333.0,476633.0,319967.0,825967.0
2022 April,296750.0,406000.0,486666.0,329967.0,852967.0
2022 May,309333.0,416667.0,500000.0,340000.0,876300.0
2022 June,316333.0,430000.0,510000.0,351333.0,892667.0
2022 July,318000.0,436333.0,509975.0,356333.0,891000.0
2022 August,314833.0,434667.0,501642.0,356300.0,874667.0
2022 September,311467.0,427967.0,489975.0,351633.0,858333.0
2022 October,307633.0,418300.0,481666.0,344942.0,850000.0
2022 November,304433.0,409967.0,473333.0,339975.0,850000.0
2022 December,297767.0,402967.0,466500.0,335642.0,850833.0
