,"Dallas, TX","Philadelphia, PA","Phoenix, AZ","San Diego, CA","San Antonio, TX"
2018 March,8930.166666666666,6752.333333333333,5000.333333333333,17716.666666666668,5067.0
2018 April,9513.5,7083.333333333333,5033.666666666667,18650.0,5233.333333333333
2018 May,9870.166666666666,8300.333333333334,5033.666666666667,18933.33333333333,5420.833333333333
2018 June,9603.333333333334,9267.0,5033.333333333333,19566.83333333333,5420.833333333333
2018 July,9003.333333333334,9667.0,5000.0,18300.166666666668,5554.166666666667
2018 Aug,7700.0,9033.333333333334,5000.0,16670.166666666668,5466.666666666667
2018 Sept,6666.666666666667,9000.0,5000.0,15336.666666666666,5433.333333333333
2018 Oct,6166.666666666667,9000.0,5000.0,15003.666666666666,5133.333333333333
2018 Nov,6129.333333333333,9000.0,5000.0,15000.333333333334,5000.0
2018 Dec,5829.333333333333,8033.333333333333,4966.666666666667,15000.333333333334,5000.0
2019 Jan,5662.666666666667,7500.0,4966.666666666667,15000.0,5000.0
2019 Feb,5700.0,7166.666666666667,4966.666666666667,14999.666666666666,5000.0
2019 March,6300.0,7333.333333333333,5000.0,14999.666666666666,5000.0
2019 April,6800.0,8133.333333333333,5000.0,15333.0,5033.333333333333
2019 May,7333.333333333333,9133.333333333334,5000.0,15666.666666666666,5066.666666666667
2019 June,7466.666666666667,9966.666666666666,5000.0,16316.666666666666,5100.0
2019 July,7300.0,9966.666666666666,5000.0,16650.0,5100.0
2019 Aug,6766.666666666667,9633.333333333334,5000.0,16983.333333333332,5066.666666666667
2019 Sept,6300.0,9609.0,5000.0,16366.666666666666,5033.333333333333
2019 Oct,5666.666666666667,9555.333333333334,5000.0,17333.666666666668,5000.0
2019 Nov,5500.0,9222.0,5000.0,18000.333333333332,5000.0
2019 Dec,5200.0,8246.333333333334,5000.0,19193.5,5000.0
2020 Jan,5200.0,8000.0,5000.0,18893.166666666668,5000.0
2020 Feb,5400.0,8666.666666666666,6000.0,19226.5,5033.333333333333
2020 March,6066.666666666667,9633.333333333334,7366.666666666667,19666.666666666668,5200.0
2020 April,6299.833333333333,8966.666666666666,7366.666666666667,18666.666666666668,5200.333333333333
2020 May,6266.5,8466.666666666666,6366.666666666667,18666.666666666668,5200.333333333333
2020 June,6433.166666666667,8500.0,5666.666666666667,18666.666666666668,5200.333333333333
2020 Aug,7000.0,9500.0,6666.666666666667,20333.33333333333,5500.166666666667
2020-08-31,7666.666666666667,10000.0,8000.0,20666.666666666668,5766.833333333333
2020 Sept,8200.0,10000.0,9000.0,22300.33333333333,5933.5
2020 Oct,9000.0,10000.0,9633.333333333334,23300.33333333333,5966.666666666667
2020 Nov,9665.0,10000.0,9933.333333333334,22967.0,6000.0
2020 Dec,9831.666666666666,10000.0,9898.333333333334,21333.33333333333,6000.0
2021 Jan,9865.0,10000.0,9931.666666666666,21666.666666666668,6000.0
2021 Feb,9866.666666666666,10000.0,9965.0,25000.0,
2021 March,10000.0,10000.0,10166.666666666666,28333.33333333333,
2021 April,10000.333333333334,10000.0,11833.333333333334,30033.33333333333,
2021 May,11000.333333333334,10000.0,13500.0,30366.666666666668,
2021 June,11333.666666666666,10000.0,15000.0,30366.666666666668,
2021 Aug,11366.666666666666,10000.0,14000.0,28700.0,10000.0
2021-08-31,10367.666666666666,10000.0,12666.666666666666,27033.33333333333,10000.0
2021 Sept,10034.333333333334,10000.0,11000.333333333334,25366.666666666668,10000.0
2021 Oct,10001.0,10000.0,10716.5,25333.33333333333,10000.0
2021 Nov,10000.0,10000.0,10383.166666666666,24966.666666666668,10000.0
2021 Dec,10000.0,10000.0,10382.833333333334,24633.5,10000.0
2022 Jan,10000.0,10000.0,10000.0,26300.166666666668,9666.666666666666
2022 Feb,10000.0,10000.0,10000.0,33333.5,9666.666666666666
2022 March,10000.0,10000.0,10033.333333333334,40500.0,9666.666666666666
2022 April,10333.333333333334,10000.0,11366.666666666666,43833.333333333336,10000.0
2022 May,11666.666666666666,10000.0,13033.333333333334,42133.333333333336,10000.0
2022 June,13333.333333333334,10000.0,14333.333333333334,38633.333333333336,10000.0
2022 July,14333.333333333334,10000.0,14660.833333333334,35300.0,10000.0
2022 Aug,13033.333333333334,10000.0,13327.5,30333.33333333333,10000.0
2022 Sept,11366.666666666666,10000.0,11994.166666666666,27333.33333333333,10000.0
2022 Oct,10033.333333333334,10000.0,10666.666666666666,26000.0,10000.0
2022 Nov,10000.0,10000.0,10333.333333333334,25666.666666666668,10000.0
2022 Dec,10000.0,10000.0,10333.333333333334,25300.0,9999.666666666666
