,Philadelphia,Dallas,Phoenix,San Antonio,San Diego
2018 March,214750.0,246333.0,255000.0,201317.0,545833.0
2018 April,219750.0,254633.0,257500.0,204650.0,560767.0
2018 May,226417.0,260633.0,260000.0,210983.0,570767.0
2018 June,234000.0,266600.0,264333.0,217000.0,577183.0
2018 July,240667.0,268300.0,268167.0,220667.0,578917.0
2018 August,245000.0,265967.0,268167.0,221333.0,581250.0
2018 September,241667.0,259000.0,266750.0,216983.0,579833.0
2018 October,235000.0,253983.0,265383.0,214317.0,573167.0
2018 November,229967.0,250616.0,265550.0,210983.0,564833.0
2018 December,227883.0,250283.0,266133.0,210667.0,557333.0
2019 January,226883.0,246967.0,266167.0,207333.0,560333.0
2019 February,222583.0,247000.0,266500.0,207333.0,561333.0
2019 March,223000.0,250000.0,267333.0,209000.0,566000.0
2019 April,227300.0,257000.0,270333.0,214000.0,569667.0
2019 May,235800.0,265000.0,275000.0,220333.0,574667.0
2019 June,245133.0,270500.0,278833.0,225333.0,583833.0
2019 July,254500.0,273500.0,281500.0,229667.0,583500.0
2019 August,260000.0,272167.0,282500.0,229333.0,586833.0
2019 September,255667.0,267633.0,283667.0,227667.0,578000.0
2019 October,246600.0,265967.0,285833.0,225667.0,578333.0
2019 November,240933.0,262633.0,286675.0,221333.0,580000.0
2019 December,240933.0,263333.0,288342.0,220333.0,580000.0
2020 January,240667.0,261667.0,290508.0,218483.0,583000.0
2020 February,238333.0,263300.0,295000.0,220817.0,583000.0
2020 March,238333.0,266300.0,300333.0,223483.0,589667.0
2020 April,248300.0,272967.0,302000.0,228833.0,593333.0
2020 May,256633.0,275333.0,302000.0,233500.0,591667.0
2020 June,263300.0,279000.0,303333.0,238500.0,597250.0
2020 July,266667.0,284000.0,309633.0,244667.0,610583.0
2020 August,273500.0,291667.0,317967.0,249367.0,631250.0
2020 September,278500.0,295000.0,324467.0,252700.0,646000.0
2020 October,276833.0,296633.0,329833.0,252867.0,649333.0
2020 November,274333.0,298267.0,332833.0,253667.0,651167.0
2020 December,272667.0,298267.0,334333.0,253633.0,650833.0
2021 January,271667.0,294967.0,337667.0,252467.0,650833.0
2021 February,267333.0,297917.0,344667.0,253300.0,659167.0
2021 March,263967.0,306250.0,355000.0,254333.0,675833.0
2021 April,266633.0,319583.0,365833.0,261000.0,699333.0
2021 May,273467.0,333333.0,379167.0,269333.0,721083.0
2021 June,283500.0,345000.0,391167.0,278533.0,741083.0
2021 July,293500.0,353333.0,402000.0,286867.0,750917.0
2021 August,303333.0,354417.0,408667.0,291867.0,748333.0
2021 September,305000.0,352750.0,415000.0,294000.0,745000.0
2021 October,300000.0,352417.0,420667.0,294333.0,746500.0
2021 November,293333.0,352000.0,425583.0,294766.0,754833.0
2021 December,288333.0,355333.0,428917.0,297597.0,758167.0
2022 January,288333.0,355683.0,433250.0,298930.0,761667.0
2022 February,285000.0,361017.0,440667.0,300148.0,771667.0
2022 March,283467.0,370017.0,453667.0,303317.0,794333.0
2022 April,286767.0,390000.0,465367.0,310650.0,822667.0
2022 May,301767.0,409000.0,478367.0,322333.0,847000.0
2022 June,321633.0,421389.0,485367.0,331592.0,847833.0
2022 July,334167.0,419722.0,483667.0,333259.0,832833.0
2022 August,337167.0,411389.0,472500.0,329926.0,811000.0
2022 September,332167.0,399333.0,458983.0,325000.0,799167.0
2022 October,324667.0,391000.0,451983.0,324333.0,792500.0
2022 November,317333.0,382667.0,442817.0,317667.0,785000.0
