,Philadelphia,Phoenix,San Antonio,San Diego,Dallas
2018 January,161496.0,221437.0,189884.0,601663.0,199922.0
2018 February,163647.0,223419.0,190011.0,608971.0,203655.0
2018 March,165874.0,225327.0,191133.0,613797.0,207001.0
2018 April,167580.0,226888.0,192356.0,613638.0,208492.0
2018 May,168807.0,228156.0,193616.0,613076.0,210099.0
2018 June,169456.0,229241.0,194503.0,614607.0,211560.0
2018 July,170607.0,230549.0,195471.0,617313.0,213455.0
2018 August,171840.0,231879.0,196436.0,621337.0,216229.0
2018 September,173354.0,233609.0,196813.0,622922.0,217434.0
2018 October,174532.0,234695.0,197524.0,625624.0,218126.0
2018 November,176020.0,235344.0,197911.0,626626.0,217822.0
2018 December,177729.0,235990.0,199399.0,626310.0,218979.0
2019 January,179745.0,237007.0,200614.0,622256.0,222258.0
2019 February,181113.0,238300.0,202349.0,619764.0,225289.0
2019 March,181761.0,239772.0,203062.0,619267.0,228102.0
2019 April,181960.0,240545.0,203863.0,622624.0,228352.0
2019 May,182669.0,241191.0,204344.0,624407.0,228007.0
2019 June,183376.0,241715.0,205016.0,626654.0,227482.0
2019 July,184213.0,242684.0,205674.0,629384.0,227350.0
2019 August,184852.0,244431.0,206372.0,631910.0,228568.0
2019 September,185659.0,246006.0,207478.0,632813.0,230515.0
2019 October,186404.0,247622.0,208212.0,633500.0,229782.0
2019 November,187026.0,249108.0,208922.0,635502.0,228262.0
2019 December,187934.0,251088.0,208848.0,638126.0,225957.0
2020 January,188969.0,253005.0,209356.0,641360.0,228540.0
2020 February,190202.0,255043.0,209524.0,644956.0,230867.0
2020 March,191534.0,257837.0,210465.0,651134.0,233589.0
2020 April,192815.0,261766.0,210386.0,655331.0,233624.0
2020 May,193388.0,264411.0,210433.0,658458.0,233353.0
2020 June,193877.0,266215.0,210258.0,658271.0,232949.0
2020 July,195468.0,268316.0,211161.0,661748.0,233277.0
2020 August,198527.0,272515.0,212543.0,668469.0,235405.0
2020 September,201300.0,277525.0,214773.0,678947.0,238091.0
2020 October,204043.0,282525.0,217312.0,690051.0,241291.0
2020 November,206221.0,287910.0,219575.0,702762.0,243110.0
2020 December,208723.0,293983.0,221459.0,713970.0,245081.0
2021 January,211141.0,301072.0,223321.0,723947.0,248169.0
2021 February,213569.0,306788.0,225834.0,732120.0,251966.0
2021 March,215734.0,314583.0,228386.0,742415.0,255523.0
2021 April,217520.0,320238.0,231909.0,756743.0,258298.0
2021 May,219841.0,330922.0,236225.0,778655.0,261256.0
2021 June,222199.0,340669.0,242123.0,803699.0,265424.0
2021 July,224391.0,352038.0,247470.0,828708.0,269750.0
2021 August,225705.0,360716.0,253120.0,844005.0,276625.0
2021 September,226799.0,367707.0,256904.0,854587.0,283209.0
2021 October,227847.0,374409.0,260983.0,859612.0,288672.0
2021 November,228879.0,379651.0,264614.0,867577.0,291671.0
2021 December,229794.0,384787.0,269271.0,879383.0,294268.0
2022 January,230230.0,389698.0,273978.0,901558.0,298874.0
2022 February,230620.0,397232.0,278410.0,924133.0,305521.0
2022 March,231210.0,405140.0,284072.0,949819.0,312259.0
2022 April,232207.0,415133.0,289683.0,971386.0,320431.0
2022 May,234087.0,422840.0,294718.0,986145.0,326858.0
2022 June,236156.0,428493.0,297669.0,986746.0,333074.0
2022 July,237712.0,426227.0,298737.0,976118.0,335288.0
2022 August,238991.0,420175.0,299066.0,966067.0,336213.0
2022 September,240208.0,411429.0,298893.0,959853.0,331963.0
2022 October,242228.0,407193.0,298380.0,955576.0,329719.0
2022 November,244167.0,402934.0,298942.0,952312.0,327411.0
2022 December,246115.0,400426.0,297568.0,946026.0,326938.0
